@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@data
2.2,-1.0332,164.629,9.0185e-06,3.753e-05,31.1,61.74,7.49,143,1,1.024,1,0.0817582,'319016',0.88396438374184
1.505,-1.5398,151.04,4.47e-06,?,49.7,111.84,8.81,224,1,1.024,0,0.158883,'319036',0.459781507495791
1.51,?,27.8861,4.4103e-07,?,13.4,66.1,7.58,187,1,1.024,1,0.0862009,'308041',0.811511816224083
2.602,-0.9507,283.284,3.4109e-05,0.0001218,37.2,29.92,10.24,271,1,1.024,1,0.0366282,'317508',0.784918329678476
0.757,-1.5558,76.6923,2.0145e-06,?,24.1,47.04,7.33,286,1,2.048,0,0.194119,'238108',0.778485986869782
0.125,-1.9025,208.241,2.8219e-05,2.43e-05,191.9,108.8,18.45,563,1,1.024,1,0.063965,'214805',0.850844533881173
3.686,-1.9659,?,3.5575e-06,2.693e-05,30.5,72.96,7.96,1462,0,64,0,0.101779,'228316',0.216796150198206
2.43,-0.7727,?,4.1281e-06,?,47.4,18.48,8.73,240,1,1.024,1,0.120785,'228581',0.241960074286908
1.331,-1.163,?,3.4001e-06,?,76.4,6.48,25.57,2183,1,1.024,0,0.0534918,'296805',0.941046370659024
1.18,?,36.1062,2.5124e-07,?,18,4.3,9.1,189,1,0.512,1,0.0586255,'416103',0.63000686164014
0.059,?,32.4207,2.2302e-06,?,7.6,422,7.83,1835,0,64,0,0.181122,'416135',0.685674777952954
1.16,?,41.9671,2.0585e-07,?,10.1,5.34,?,?,?,?,1,0.099199,'279592',0.820584341417998
1.547,-1.3593,182.27,1.4244e-05,6.504e-05,35.5,30.69,9.37,239,1,2.048,1,0.0797668,'338895',0.435694349231198
1.692,-1.7327,63.3245,3.9593e-06,0.0001098,39.8,284.9,8.92,2444,0,112,1,0.202398,'326115',0.151611999608576
3.85,-0.981,128.993,3.254e-06,?,15.2,81.77,8.61,647,1,12.16,0,0.108463,'352648',0.349041677545756
4.109,-1.5604,101.184,1.4903e-05,0.0001171,24,228.48,8.83,554,1,26.88,0,0.154407,'352190',0.030089242849499
2.296,?,29.6428,4.7567e-07,0.0001794,5.4,8.16,6.59,166,1,1.024,1,0.125147,'178750',0.369754754705355
0.6535,-0.864,24.1774,3.5115e-07,2.559e-05,17.5,2.91,11,?,1,0.512,1,0.00434538,'114753',0.691969032865018
2.711,-1.9028,?,4.2985e-06,1.251e-05,44,118.72,8.78,363,1,4.096,1,0.146599,'219101',0.916098342975602
2.452,-1.2922,151.459,1.1726e-05,0.000124,78.5,99.76,10.25,260,1,1.024,1,0.128584,'359711',0.821309913182631
2.641,-1.7522,90.0227,2.7375e-06,3.994e-05,36.6,43.89,17.85,4514,0,80,1,0.153451,'302888',0.241802502656356
4.6497,-0.8902,44.9122,1.9228e-07,?,13,10.68,8.16,397,1,4.096,0,0.125617,'342121',0.739861762616783
2.77,-1.0366,?,7.3056e-06,9.527e-05,147.6,33.48,8.08,115,1,0.256,1,0.0565464,'337914',0.554517011390999
4.772,-1.6523,64.5207,2.0753e-06,2.559e-05,23.3,65.1,10.4,928,1,12.16,0,0.227631,'421814',0.830318905878812
2.58,?,51.8109,1.5737e-06,?,19.8,66.55,?,?,?,?,0,0.153556,'334877',0.30247362004593
1.497,-1.671,105.029,9.0434e-06,8.937e-05,85.4,261.36,9.85,705,1,12.16,0,0.126068,'263361',0.131694932468235
0.845,-1.26,80.5384,3.2424e-06,6.028e-05,12.6,139.05,8.57,387,1,4.096,1,0.177203,'316534',0.131709680194035
0.689,-1.0842,?,5.551e-06,2.176e-05,89.3,62.53,20.32,860,1,1.024,1,0.140844,'324895',0.758049421012402
2.03,?,432.891,5.1194e-07,2.395e-05,20.5,15.28,8.51,242,1,1.024,0,0.141504,'176453',0.547654506284744
